id,Label,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,
202,Os04g0400700,5.3939928951273,8648,Brown,4.42110848836609,
203,Os04g0535200,0.070742902062383,13672,Grey,0.019057038169256,
204,Os03g0820300,20.0219983485984,3411,Black,10.1959476537971,
205,Os03g0406900,5.95597546869372,8316,MidnightBlue,3.68770196850363,
206,Os12g0131100,39.0741143172027,1282,Black,16.0419869258964,
207,Os05g0577500,16.1973052431129,4302,MidnightBlue,10.1566276128443,
208,Os02g0700500,2.1387406823722,11321,Red,0.715473388550712,
209,Os11g0147800,3.41984659800662,10134,Pink,1.24528562676759,
210,Os06g0567200,4.49238353758681,9275,Yellow,1.6549090039558,
211,Os01g0803900,6.9109935573647,7755,Brown,5.92951757682019,
212,Os04g0542800,2.14713976763651,11310,Brown,1.77676749592537,
213,Os07g0669650,3.54161116342771,10034,MidnightBlue,2.21264201018241,
214,Os10g0187500,10.9979091736113,5935,Brown,8.39478273518339,
215,Os11g0183900,9.82795174594872,6371,Red,3.30166523710656,
216,Os01g0528800,16.7986059148806,4119,Pink,14.2475724568288,
217,Os01g0955700,25.6951835435797,2495,Pink,8.93964481119262,
218,Os05g0148900,10.333050710569,6196,Cyan,3.11992268608837,
